Date,Open,High,Low,Close,Volume
2017-12-29 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-01 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-02 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-03 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-04 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-05 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-08 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-09 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-10 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-11 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-12 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-15 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-16 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-17 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-18 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-19 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-22 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-23 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-24 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-25 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-26 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-29 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-30 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-01-31 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-01 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-02 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-05 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-06 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-07 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-08 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-09 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-12 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-13 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-14 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-15 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-16 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-19 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-20 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-21 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-22 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-23 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-26 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-27 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-02-28 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-01 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-02 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-05 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-06 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-07 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-08 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-09 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-12 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-13 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-14 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-15 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-16 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-19 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-20 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-21 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-22 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-23 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-26 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-27 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-28 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-29 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-03-30 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-04-02 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-04-03 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-04-04 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-04-05 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
2018-04-06 00:00:00+09:00,225.8311004638672,225.8311004638672,225.8311004638672,225.8311004638672,0
